"Country","date","total_cases_per_million","population_density","human_development_index"
"Aruba",2022-03-01,314231.074,584.8,NA
"Afghanistan",2022-03-01,4364.934,54.422,0.511
"Angola",2022-03-01,2909.976,23.89,0.581
"Anguilla",2022-03-01,168925.62,NA,NA
"Albania",2022-03-01,94573.004,104.871,0.795
"Andorra",2022-03-01,493381.079,163.755,0.868
"United Arab Emirates",2022-03-01,88123.68,112.442,0.89
"Argentina",2022-03-01,195242.086,16.177,0.845
"Armenia",2022-03-01,141555.89,102.931,0.776
"Antigua and Barbuda",2022-03-01,75429.463,231.845,0.778
"Australia",2022-03-01,126289.15,3.202,0.944
"Austria",2022-03-01,299072.041,106.749,0.922
"Azerbaijan",2022-03-01,76931.971,119.309,0.756
"Burundi",2022-03-01,3111.029,423.062,0.433
"Belgium",2022-03-01,306373.682,375.564,0.931
"Benin",2022-03-01,2133.719,99.11,0.545
"Burkina Faso",2022-03-01,965.293,70.151,0.452
"Bangladesh",2022-03-01,11691.733,1265.036,0.632
"Bulgaria",2022-03-01,158616.025,65.18,0.816
"Bahrain",2022-03-01,296079.895,1935.907,0.852
"Bahamas",2022-03-01,83509.274,39.497,0.814
"Bosnia and Herzegovina",2022-03-01,113799.806,68.496,0.78
"Belarus",2022-03-01,97561.789,46.858,0.823
"Belize",2022-03-01,140209.674,16.426,0.716
"Bermuda",2022-03-01,186191.458,1308.82,NA
"Bolivia (Plurinational State of)",2022-03-01,75510.592,10.202,0.718
"Brazil",2022-03-01,134671.651,25.04,0.765
"Barbados",2022-03-01,192504.206,664.463,0.814
"Brunei Darussalam",2022-03-01,153470.19,81.347,0.838
"Bhutan",2022-03-01,16844.467,21.188,0.654
"Botswana",2022-03-01,110105.788,4.044,0.735
"Central African Republic",2022-03-01,2891.268,7.479,0.397
"Canada",2022-03-01,86576.771,4.037,0.929
"Switzerland",2022-03-01,323414.829,214.243,0.955
"Chile",2022-03-01,159325.491,24.282,0.851
"China",2022-03-01,75.993,147.674,0.761
"Côte d’Ivoire",2022-03-01,3011.906,76.399,0.538
"Cameroon",2022-03-01,4379.917,50.885,0.563
"Democratic Republic of the Congo",2022-03-01,931.38,35.879,0.48
"Congo",2022-03-01,4246.054,15.405,0.574
"Cook Islands",2022-03-01,113.817,NA,NA
"Colombia",2022-03-01,118320.521,44.223,0.767
"Comoros",2022-03-01,9041.528,437.352,0.554
"Cabo Verde",2022-03-01,99460.581,135.58,0.665
"Costa Rica",2022-03-01,157447.491,96.079,0.81
"Cuba",2022-03-01,94566.661,110.408,0.783
"Curaçao",2022-03-01,236413.505,362.644,NA
"Cayman Islands",2022-03-01,291332.07,256.496,NA
"Cyprus",2022-03-01,362165.39,127.657,0.887
"Czechia",2022-03-01,334547.37,137.176,0.9
"Germany",2022-03-01,178481.978,237.016,0.947
"Djibouti",2022-03-01,15512.918,41.285,0.524
