Country,date,total_cases_per_million,population_density,human_development_index
Afghanistan,3/1/22,4364.934,54.422,0.511
Albania,3/1/22,94573.004,104.871,0.795
Algeria,3/1/22,5939.714,17.348,0.748
Andorra,3/1/22,493381.079,163.755,0.868
Angola,3/1/22,2909.976,23.89,0.581
Anguilla,3/1/22,168925.62,168.1,0.865
Antigua and Barbuda,3/1/22,75429.463,231.845,0.778
Argentina,3/1/22,195242.086,16.177,0.845
Armenia,3/1/22,141555.89,102.931,0.776
Aruba,3/1/22,314231.074,584.8,0.865
Australia,3/1/22,126289.15,3.202,0.944
Austria,3/1/22,299072.041,106.749,0.922
Azerbaijan,3/1/22,76931.971,119.309,0.756
Bahamas,3/1/22,83509.274,39.497,0.814
Bahrain,3/1/22,296079.895,1935.907,0.852
Bangladesh,3/1/22,11691.733,1265.036,0.632
Barbados,3/1/22,192504.206,664.463,0.814
Belarus,3/1/22,97561.789,46.858,0.823
Belgium,3/1/22,306373.682,375.564,0.931
Belize,3/1/22,140209.674,16.426,0.716
Benin,3/1/22,2133.719,99.11,0.545
Bermuda,3/1/22,186191.458,1308.82,0.981
Bhutan,3/1/22,16844.467,21.188,0.654
Bolivia (Plurinational State of),3/1/22,75510.592,10.202,0.718
Bosnia and Herzegovina,3/1/22,113799.806,68.496,0.78
Botswana,3/1/22,110105.788,4.044,0.735
Brazil,3/1/22,134671.651,25.04,0.765
British Virgin Islands,3/1/22,200013.148,207.973,0.945
Brunei Darussalam,3/1/22,153470.19,81.347,0.838
Bulgaria,3/1/22,158616.025,65.18,0.816
Burkina Faso,3/1/22,965.293,70.151,0.452
Burundi,3/1/22,3111.029,423.062,0.433
Côte d’Ivoire,3/1/22,3011.906,76.399,0.538
Cabo Verde,3/1/22,99460.581,135.58,0.665
Cambodia,3/1/22,7705.982,90.672,0.594
Cameroon,3/1/22,4379.917,50.885,0.563
Canada,3/1/22,86576.771,4.037,0.929
Cayman Islands,3/1/22,291332.07,256.496,0.888
Central African Republic,3/1/22,2891.268,7.479,0.397
Chad,3/1/22,429.028,11.833,0.398
Chile,3/1/22,159325.491,24.282,0.851
China,3/1/22,75.993,147.674,0.761
Colombia,3/1/22,118320.521,44.223,0.767
Comoros,3/1/22,9041.528,437.352,0.554
Congo,3/1/22,4246.054,15.405,0.574
Cook Islands,3/1/22,113.817,73.22,0.829
Costa Rica,3/1/22,157447.491,96.079,0.81
Croatia,3/1/22,258704.492,73.726,0.851
Cuba,3/1/22,94566.661,110.408,0.783
Curaçao,3/1/22,236413.505,362.644,0.811
Cyprus,3/1/22,362165.39,127.657,0.887
Czechia,3/1/22,334547.37,137.176,0.9
Democratic Republic of the Congo,3/1/22,931.38,35.879,0.48
Denmark,3/1/22,478798.28,136.52,0.94
Djibouti,3/1/22,15512.918,41.285,0.524
Dominica,3/1/22,153910.104,98.567,0.742
Dominican Republic,3/1/22,52485.577,222.873,0.756
Ecuador,3/1/22,46273.371,66.939,0.759
Egypt,3/1/22,4652.799,97.999,0.707
El Salvador,3/1/22,23987.727,307.811,0.673
Equatorial Guinea,3/1/22,10955.306,45.194,0.592
Eritrea,3/1/22,2694.461,44.304,0.459
Estonia,3/1/22,376612.979,31.033,0.892
Eswatini,3/1/22,59018.108,79.492,0.611
Ethiopia,3/1/22,3976.799,104.957,0.485
Falkland Islands (Malvinas),3/1/22,31179.138,0.29,0.933
Faroe Islands,3/1/22,700935.723,35.308,0.95
Fiji,3/1/22,70805.262,49.562,0.743
Finland,3/1/22,118493.191,18.136,0.938
France,3/1/22,338692.415,122.578,0.901
French Polynesia,3/1/22,239443.748,77.324,NA
Gabon,3/1/22,20862.908,7.859,0.703
Gambia,3/1/22,4800.685,207.566,0.496
Georgia,3/1/22,405128.383,65.032,0.812
Germany,3/1/22,178481.978,237.016,0.947
Ghana,3/1/22,5038.773,126.719,0.611
Gibraltar,3/1/22,459707.34,3457.1,0.961
Greece,3/1/22,235168.402,83.479,0.888
Greenland,3/1/22,206566.083,0.137,0.839
Grenada,3/1/22,121134.363,317.132,0.779
Guatemala,3/1/22,42784.693,157.834,0.663
Guernsey,2/28/22,NA,NA,NA
Guinea,3/1/22,2696.626,51.755,0.477
Guinea-Bissau,3/1/22,3980.174,66.191,0.48
Guyana,3/1/22,79645.312,3.952,0.682
Haiti,3/1/22,2628.906,398.448,0.51
Holy See,3/1/22,35714.286,NA,NA
Honduras,3/1/22,41014.931,82.805,0.634
Hungary,3/1/22,185753.675,108.043,0.854
Iceland,3/1/22,361209.028,3.404,0.949
India,3/1/22,30815.502,450.419,0.645
Indonesia,3/1/22,20224.127,145.725,0.718
Iran (Islamic Republic of),3/1/22,83039.445,49.831,0.783
Iraq,3/1/22,55945.904,88.125,0.674
Ireland,3/1/22,261638.595,69.874,0.955
Isle of Man,3/1/22,268926.355,147.872,0.849
Israel,3/1/22,392067.054,402.606,0.919
Italy,3/1/22,212531.216,205.859,0.892
